faixa,nota_media
>10d adiant.,4.3237588998341945
3-10d adiant.,4.237547568710359
0-3d adiant.,4.108899297423887
0-3d atraso,3.291036717062635
3-10d atraso,1.9720447284345048
>10d atraso,1.6856136820925554
