regiao,t_postagem,t_transporte,no_prazo
Norte,2.4447511574074072,16.373761574074074,91.42538975501114
Nordeste,2.32828125,14.025590277777777,87.2843874391862
Centro-Oeste,2.2564004629629633,10.206880787037036,93.47439544807966
Sudeste,2.1672743055555554,5.995063657407407,93.88596809282089
Sul,2.272650462962963,8.717939814814814,94.099761094621
