segmento,clientes,receita,pct_clientes,pct_receita
Alto valor recente,22542,5888300.75,0.2414576147732385,0.38186687077688153
Em risco (alto valor),21670,5728090.29,0.23211722616165728,0.37147693493232997
Adormecidos baixo valor,23753,1519320.08,0.2544291865721202,0.0985306337584882
Recentes baixo valor,22926,1447430.13,0.24557081342787979,0.09386844148734672
Campeões (recorrentes),2467,836632.5,0.02642515906510422,0.05425711904495356
