kpi,valor
lead_time_medio_dias,12.1
taxa_entrega_no_prazo_pct,93.2
nota_media_global,4.09
nota_media_no_prazo,4.29
nota_media_atraso,2.27
pct_detratores_1_2,14.7
taxa_recompra_pct,3.0
pct_receita_cartao,78.3
