regiao,pedidos,sellers,ticket_merc,frete_pct
Norte,1796,5,182.11300111358574,35.708154506437765
Nordeste,9044,56,165.53336797877046,31.46770766091136
Centro-Oeste,5624,79,150.59685277382644,25.1681902984706
Sudeste,66200,2287,130.64062794561934,20.62409288824383
Sul,13814,668,137.68445852034168,25.083328861880037
