kpi,valor
total_sellers_ativos,2970.0
sellers_para_80pct,551.0
top20_sellers_share_pct,21.0
top100_sellers_share_pct,44.8
top20_produtos_share_pct,5.2
sellers_risco_alto_nps_baixo,9.0
