regiao,receita,produto,pedidos,clientes,frete_pct,share_receita,ticket_merc
Norte,401339.07,327074.95,1796,1742,35.708154506437765,0.026027558932244385,182.11300111358574
Nordeste,1822543.32,1497083.78,9044,8813,31.46770766091136,0.11819520503664978,165.53336797877046
Centro-Oeste,995927.67,846956.7,5624,5449,25.1681902984706,0.06458769669042648,150.59685277382644
Sudeste,9961654.32,8648409.57,66200,63994,20.62409288824383,0.6460311598281395,130.64062794561934
Sul,2238309.37,1901973.11,13814,13383,25.083328861880037,0.14515837951253988,137.68445852034168
