kpi,valor
pedidos_jan_ago_2017,21998.0
pedidos_jan_ago_2018,52783.0
yoy_pedidos_pct,139.9
receita_jan_ago_2017,3472898.25
receita_jan_ago_2018,8451584.77
yoy_receita_pct,143.4
ticket_medio_mercadoria,137.04
ticket_medio_desvio,7.09
black_friday_mult,1.36
